ID	DS1	DS2	DS3	DS4	DS5	DS6
131	0.468	0.172	0.204	0.069	0.035	0.052	
132	0.981	0.016	0.003	0	0	0	
133	0.998	0.002	0	0	0	0	
134	0.77	0.129	0.085	0.011	0.003	0.002	
135	0.508	0.182	0.183	0.063	0.025	0.039	
136	0.752	0.105	0.093	0.03	0.007	0.013	
137	0.453	0.165	0.21	0.066	0.041	0.065	
138	0.576	0.204	0.144	0.045	0.016	0.015	
139	0.489	0.187	0.178	0.062	0.034	0.05	
140	0.39	0.165	0.205	0.081	0.059	0.1	
141	0.615	0.148	0.16	0.039	0.011	0.027	
142	0.457	0.181	0.208	0.071	0.032	0.051	
143	0.627	0.19	0.131	0.032	0.009	0.011	
144	0.312	0.186	0.229	0.087	0.069	0.117	
145	0.981	0.017	0.002	0	0	0	
146	0.917	0.047	0.022	0.009	0.002	0.003	
147	0.415	0.208	0.229	0.062	0.042	0.044	
148	0.175	0.135	0.264	0.11	0.1	0.216	
149	0.247	0.162	0.271	0.114	0.077	0.129	
150	0.603	0.223	0.137	0.021	0.008	0.008	
151	0.936	0.041	0.021	0.002	0	0	
152	0.717	0.116	0.101	0.022	0.02	0.024	
153	0.855	0.069	0.056	0.009	0.008	0.003	
154	0.855	0.071	0.048	0.019	0.004	0.003	
155	0.471	0.211	0.204	0.05	0.025	0.039	
156	0.161	0.136	0.263	0.118	0.106	0.216	
157	0.249	0.159	0.269	0.114	0.085	0.124	
158	0.513	0.229	0.194	0.034	0.018	0.012	
159	0.95	0.031	0.016	0.002	0	0.001	
160	0.988	0.01	0.002	0	0	0	
161	0.884	0.077	0.03	0.007	0	0.002	
162	0.546	0.195	0.175	0.045	0.014	0.025	
163	0.44	0.228	0.216	0.064	0.02	0.032	
164	0.715	0.134	0.097	0.023	0.017	0.014	
165	0.946	0.041	0.013	0	0	0	
166	0.654	0.181	0.121	0.025	0.008	0.011	
167	0.334	0.196	0.268	0.09	0.051	0.061	
168	0.616	0.142	0.144	0.036	0.027	0.035	
169	0.816	0.085	0.07	0.017	0.004	0.008	
170	0.478	0.169	0.196	0.063	0.035	0.059	
171	0.604	0.174	0.149	0.041	0.016	0.016	
172	0.974	0.023	0.003	0	0	0	
173	0.983	0.016	0.001	0	0	0	
174	0.687	0.171	0.111	0.022	0.007	0.002	
175	0.996	0.004	0	0	0	0	
176	0.997	0.003	0	0	0	0	
177	1	0	0	0	0	0	
178	0.924	0.046	0.024	0.003	0.002	0.001	
179	0.44	0.172	0.204	0.085	0.04	0.059	
180	0.987	0.011	0.002	0	0	0	
181	0.992	0.008	0	0	0	0	
182	0.698	0.161	0.108	0.021	0.005	0.007	
183	0.454	0.157	0.21	0.072	0.041	0.066	
184	0.761	0.108	0.085	0.025	0.01	0.011	
185	0.395	0.165	0.236	0.068	0.047	0.089	
186	0.585	0.192	0.149	0.046	0.014	0.014	
187	0.42	0.192	0.22	0.067	0.051	0.05	
188	0.346	0.174	0.225	0.084	0.065	0.106	
189	0.545	0.165	0.197	0.044	0.017	0.032	
190	0.419	0.185	0.207	0.089	0.041	0.059	
191	0.578	0.182	0.165	0.041	0.015	0.019	
192	0.278	0.176	0.228	0.108	0.071	0.139	
193	0.99	0.008	0.002	0	0	0	
194	0.921	0.044	0.025	0.006	0.001	0.003	
195	0.383	0.214	0.225	0.08	0.048	0.05	
196	0.156	0.116	0.27	0.108	0.112	0.238	
197	0.216	0.158	0.264	0.126	0.084	0.152	
198	0.584	0.22	0.147	0.024	0.012	0.013	
199	0.943	0.036	0.02	0.001	0	0	
200	0.753	0.104	0.085	0.028	0.013	0.017	
201	0.874	0.067	0.048	0.009	0.001	0.001	
202	0.892	0.059	0.04	0.005	0.003	0.001	
203	0.449	0.199	0.201	0.078	0.024	0.049	
204	0.135	0.115	0.24	0.121	0.124	0.265	
205	0.218	0.144	0.274	0.122	0.097	0.145	
206	0.471	0.237	0.214	0.04	0.017	0.021	
207	0.947	0.032	0.018	0.002	0	0.001	
208	0.99	0.008	0.002	0	0	0	
209	0.874	0.085	0.032	0.006	0.001	0.002	
210	0.534	0.192	0.178	0.053	0.015	0.028	
211	0.436	0.215	0.216	0.071	0.026	0.036	
212	0.726	0.132	0.092	0.022	0.015	0.013	
213	0.932	0.05	0.018	0	0	0	
214	0.663	0.178	0.114	0.03	0.006	0.009	
215	0.309	0.185	0.283	0.097	0.057	0.069	
216	0.59	0.153	0.142	0.043	0.033	0.039	
217	0.811	0.089	0.069	0.02	0.006	0.005	
218	0.449	0.161	0.205	0.067	0.045	0.073	
219	0.597	0.178	0.146	0.043	0.015	0.021	
220	0.974	0.023	0.003	0	0	0	
221	0.985	0.014	0.001	0	0	0	
222	0.658	0.173	0.127	0.028	0.006	0.008	
223	0.998	0.002	0	0	0	0	
224	0.998	0.002	0	0	0	0	
225	1	0	0	0	0	0	
226	0.934	0.044	0.016	0.003	0.001	0.002	
227	0.432	0.173	0.196	0.092	0.045	0.062	
228	0.991	0.007	0.002	0	0	0	
229	0.991	0.009	0	0	0	0	
230	0.693	0.166	0.106	0.024	0.004	0.007	
231	0.426	0.162	0.214	0.073	0.044	0.081	
232	0.766	0.109	0.083	0.023	0.008	0.011	
233	0.362	0.176	0.219	0.089	0.057	0.097	
234	0.576	0.199	0.155	0.041	0.016	0.013	
235	0.388	0.202	0.233	0.078	0.04	0.059	
236	0.328	0.183	0.249	0.087	0.06	0.093	
237	0.523	0.162	0.207	0.046	0.026	0.036	
238	0.412	0.179	0.204	0.097	0.044	0.064	
239	0.53	0.192	0.183	0.054	0.017	0.024	
240	0.248	0.17	0.227	0.106	0.091	0.158	
241	0.992	0.005	0.003	0	0	0	
242	0.916	0.046	0.026	0.006	0.003	0.003	
243	0.372	0.206	0.225	0.086	0.046	0.065	
244	0.136	0.102	0.257	0.111	0.124	0.27	
245	0.2	0.159	0.279	0.126	0.089	0.147	
246	0.565	0.228	0.149	0.033	0.011	0.014	
247	0.968	0.025	0.007	0	0	0	
248	0.81	0.094	0.066	0.02	0.003	0.007	
249	0.893	0.061	0.039	0.007	0	0	
250	0.921	0.046	0.028	0.004	0.001	0	
251	0.423	0.201	0.214	0.077	0.033	0.052	
252	0.119	0.103	0.226	0.118	0.117	0.317	
253	0.203	0.142	0.278	0.128	0.101	0.148	
254	0.441	0.238	0.23	0.047	0.023	0.021	
255	0.948	0.029	0.02	0.002	0	0.001	
256	0.988	0.01	0.002	0	0	0	
257	0.864	0.09	0.035	0.008	0.001	0.002	
258	0.533	0.188	0.179	0.052	0.019	0.029	
259	0.42	0.219	0.214	0.078	0.031	0.038	
260	0.739	0.122	0.093	0.023	0.009	0.014	
261	0.933	0.052	0.015	0	0	0	
262	0.684	0.175	0.102	0.026	0.007	0.006	
263	0.288	0.196	0.283	0.099	0.061	0.073	
264	0.585	0.157	0.151	0.037	0.031	0.039	
265	0.811	0.091	0.073	0.015	0.007	0.003	
266	0.43	0.167	0.214	0.063	0.048	0.078	
267	0.573	0.186	0.14	0.058	0.016	0.027	
268	0.977	0.021	0.002	0	0	0	
269	0.988	0.012	0	0	0	0	
270	0.628	0.183	0.136	0.037	0.009	0.007	
271	0.995	0.005	0	0	0	0	
272	0.997	0.003	0	0	0	0	
273	1	0	0	0	0	0	
274	0.955	0.03	0.012	0.003	0	0	
275	0.452	0.175	0.205	0.08	0.037	0.051	
276	0.988	0.01	0.002	0	0	0	
277	0.993	0.007	0	0	0	0	
278	0.719	0.15	0.108	0.013	0.007	0.003	
279	0.407	0.165	0.213	0.076	0.049	0.09	
280	0.78	0.096	0.086	0.021	0.007	0.01	
281	0.351	0.167	0.22	0.095	0.064	0.103	
282	0.523	0.196	0.183	0.05	0.023	0.025	
283	0.374	0.202	0.242	0.08	0.043	0.059	
284	0.32	0.172	0.269	0.084	0.06	0.095	
285	0.507	0.168	0.192	0.063	0.025	0.045	
286	0.424	0.181	0.212	0.088	0.035	0.06	
287	0.528	0.196	0.193	0.045	0.014	0.024	
288	0.244	0.167	0.226	0.099	0.098	0.166	
289	0.986	0.012	0.002	0	0	0	
290	0.892	0.063	0.029	0.008	0.003	0.005	
291	0.336	0.208	0.224	0.101	0.052	0.079	
292	0.13	0.116	0.235	0.111	0.122	0.286	
293	0.188	0.147	0.285	0.128	0.095	0.157	
294	0.529	0.231	0.176	0.039	0.009	0.016	
295	0.965	0.026	0.009	0	0	0	
296	0.787	0.107	0.078	0.018	0.003	0.007	
297	0.874	0.069	0.047	0.008	0.002	0	
298	0.899	0.052	0.042	0.006	0.001	0	
299	0.414	0.199	0.226	0.072	0.035	0.054	
300	0.121	0.089	0.225	0.113	0.118	0.334	
301	0.194	0.133	0.283	0.12	0.109	0.161	
302	0.416	0.239	0.233	0.063	0.02	0.029	
303	0.907	0.054	0.028	0.007	0.001	0.003	
304	0.961	0.034	0.005	0	0	0	
305	0.836	0.105	0.045	0.01	0.002	0.002	
306	0.506	0.181	0.191	0.058	0.025	0.039	
307	0.41	0.218	0.23	0.078	0.028	0.036	
308	0.759	0.118	0.083	0.021	0.009	0.01	
309	0.934	0.05	0.016	0	0	0	
310	0.683	0.178	0.099	0.028	0.007	0.005	
311	0.276	0.197	0.282	0.103	0.063	0.079	
312	0.583	0.168	0.147	0.043	0.024	0.035	
313	0.786	0.097	0.086	0.018	0.007	0.006	
314	0.418	0.168	0.21	0.07	0.049	0.085	
315	0.537	0.187	0.163	0.056	0.029	0.028	
316	0.974	0.024	0.002	0	0	0	
317	0.978	0.019	0.003	0	0	0	
318	0.606	0.178	0.154	0.043	0.008	0.011	
319	0.993	0.006	0.001	0	0	0	
320	0.995	0.004	0.001	0	0	0	
321	1	0	0	0	0	0	
322	0.942	0.042	0.014	0.001	0	0.001	
323	0.392	0.183	0.225	0.089	0.044	0.067	
324	0.984	0.014	0.002	0	0	0	
325	0.982	0.016	0.002	0	0	0	
326	0.715	0.153	0.109	0.014	0.006	0.003	
327	0.399	0.172	0.2	0.086	0.043	0.1	
328	0.744	0.106	0.102	0.019	0.016	0.013	
329	0.324	0.174	0.232	0.098	0.065	0.107	
330	0.494	0.189	0.195	0.063	0.027	0.032	
331	0.374	0.189	0.248	0.083	0.037	0.069	
332	0.312	0.184	0.259	0.092	0.058	0.095	
333	0.463	0.166	0.201	0.073	0.039	0.058	
334	0.369	0.189	0.216	0.096	0.052	0.078	
335	0.504	0.178	0.199	0.066	0.022	0.031	
336	0.223	0.16	0.218	0.098	0.104	0.197	
337	0.981	0.016	0.003	0	0	0	
338	0.888	0.064	0.034	0.006	0.003	0.005	
339	0.312	0.213	0.227	0.099	0.068	0.081	
340	0.128	0.119	0.229	0.114	0.115	0.295	
341	0.163	0.146	0.275	0.135	0.104	0.177	
342	0.552	0.233	0.165	0.03	0.012	0.008	
343	0.967	0.026	0.007	0	0	0	
344	0.71	0.124	0.106	0.033	0.014	0.013	
345	0.778	0.109	0.078	0.021	0.008	0.006	
346	0.864	0.073	0.051	0.009	0.003	0	
347	0.409	0.2	0.235	0.072	0.036	0.048	
348	0.114	0.091	0.214	0.115	0.127	0.339	
349	0.184	0.14	0.288	0.139	0.097	0.152	
350	0.422	0.251	0.229	0.056	0.02	0.022	
351	0.929	0.042	0.018	0.008	0.001	0.002	
352	0.97	0.027	0.003	0	0	0	
353	0.812	0.114	0.054	0.013	0.003	0.004	
354	0.502	0.189	0.187	0.061	0.028	0.033	
355	0.413	0.231	0.234	0.069	0.021	0.032	
356	0.766	0.12	0.077	0.018	0.007	0.012	
357	0.929	0.049	0.021	0.001	0	0	
358	0.697	0.17	0.094	0.029	0.006	0.004	
359	0.257	0.193	0.286	0.109	0.067	0.088	
360	0.537	0.173	0.16	0.051	0.036	0.043	
361	0.683	0.138	0.11	0.039	0.012	0.018	
362	0.408	0.175	0.204	0.075	0.045	0.093	
363	0.532	0.18	0.165	0.062	0.026	0.035	
364	0.971	0.024	0.005	0	0	0	
365	0.977	0.021	0.002	0	0	0	
366	0.542	0.188	0.165	0.054	0.028	0.023	
367	0.985	0.011	0.004	0	0	0	
368	0.991	0.007	0.002	0	0	0	
369	0.999	0.001	0	0	0	0	
370	0.944	0.04	0.015	0	0.001	0	
371	0.394	0.204	0.21	0.083	0.045	0.064	
372	0.981	0.017	0.002	0	0	0	
373	0.981	0.017	0.002	0	0	0	
374	0.71	0.155	0.111	0.014	0.007	0.003	
375	0.417	0.164	0.202	0.08	0.04	0.097	
376	0.693	0.138	0.113	0.026	0.013	0.017	
377	0.334	0.172	0.246	0.096	0.057	0.095	
378	0.523	0.218	0.171	0.043	0.021	0.024	
379	0.292	0.194	0.254	0.088	0.06	0.112	
380	0.286	0.174	0.263	0.104	0.058	0.115	
381	0.43	0.188	0.205	0.087	0.031	0.059	
382	0.373	0.191	0.237	0.083	0.048	0.068	
383	0.499	0.177	0.199	0.055	0.035	0.035	
384	0.225	0.16	0.22	0.098	0.102	0.195	
385	0.985	0.013	0.002	0	0	0	
386	0.9	0.059	0.03	0.007	0	0.004	
387	0.308	0.196	0.235	0.111	0.067	0.083	
388	0.116	0.113	0.225	0.115	0.12	0.311	
389	0.152	0.14	0.26	0.13	0.105	0.213	
390	0.505	0.229	0.183	0.052	0.019	0.012	
391	0.948	0.035	0.017	0	0	0	
392	0.688	0.129	0.114	0.029	0.021	0.019	
393	0.82	0.093	0.063	0.02	0.004	0	
394	0.907	0.062	0.026	0.005	0	0	
395	0.407	0.208	0.226	0.069	0.041	0.049	
396	0.09	0.097	0.191	0.13	0.134	0.358	
397	0.171	0.15	0.297	0.138	0.092	0.152	
