ID	DS1	DS2	DS3	DS4	DS5	DS6
128	0.272	0.329	0	0.221	0.146	0.032	
129	0.189	0.329	0	0.255	0.182	0.045	
130	0.194	0.317	0	0.252	0.186	0.051	
131	0.279	0.378	0	0.206	0.12	0.017	
132	0.746	0.181	0	0.04	0.029	0.004	
133	0.25	0.405	0	0.224	0.112	0.009	
134	0.298	0.283	0	0.183	0.162	0.074	
135	0.724	0.241	0	0.027	0.008	0	
136	0.689	0.263	0	0.034	0.014	0	
137	0.288	0.276	0	0.208	0.145	0.083	
138	0.289	0.4	0	0.208	0.098	0.005	
139	0.645	0.179	0	0.082	0.06	0.034	
140	0.257	0.328	0	0.23	0.153	0.032	
141	0.188	0.315	0	0.247	0.195	0.055	
142	0.179	0.288	0	0.271	0.199	0.063	
143	0.27	0.389	0	0.205	0.12	0.016	
144	0.711	0.182	0	0.062	0.039	0.006	
145	0.232	0.403	0	0.232	0.121	0.012	
146	0.257	0.31	0	0.184	0.163	0.086	
147	0.742	0.212	0	0.034	0.012	0	
148	0.69	0.246	0	0.051	0.013	0	
149	0.296	0.28	0	0.202	0.144	0.078	
150	0.269	0.384	0	0.217	0.119	0.011	
151	0.576	0.203	0	0.102	0.064	0.055	
152	0.245	0.335	0	0.231	0.155	0.034	
153	0.195	0.301	0	0.248	0.191	0.065	
154	0.18	0.287	0	0.266	0.199	0.068	
155	0.268	0.379	0	0.209	0.129	0.015	
156	0.707	0.173	0	0.067	0.039	0.014	
157	0.229	0.334	0	0.251	0.156	0.03	
158	0.225	0.283	0	0.204	0.188	0.1	
159	0.686	0.234	0	0.053	0.027	0	
160	0.627	0.28	0	0.061	0.032	0	
161	0.267	0.279	0	0.205	0.169	0.08	
162	0.241	0.349	0	0.237	0.147	0.026	
163	0.533	0.217	0	0.096	0.087	0.067	
164	0.245	0.312	0	0.245	0.164	0.034	
165	0.198	0.307	0	0.244	0.182	0.069	
166	0.188	0.308	0	0.249	0.198	0.057	
167	0.261	0.381	0	0.209	0.135	0.014	
168	0.614	0.187	0	0.093	0.071	0.035	
169	0.23	0.325	0	0.232	0.167	0.046	
170	0.232	0.27	0	0.197	0.191	0.11	
171	0.629	0.257	0	0.066	0.043	0.005	
172	0.562	0.265	0	0.111	0.054	0.008	
173	0.251	0.258	0	0.197	0.197	0.097	
174	0.233	0.333	0	0.23	0.162	0.042	
175	0.483	0.194	0	0.117	0.101	0.105	
176	0.235	0.311	0	0.253	0.166	0.035	
177	0.199	0.313	0	0.245	0.186	0.057	
178	0.186	0.297	0	0.239	0.201	0.077	
179	0.26	0.371	0	0.222	0.131	0.016	
180	0.541	0.202	0	0.125	0.075	0.057	
181	0.172	0.296	0	0.261	0.203	0.068	
182	0.203	0.228	0	0.187	0.191	0.191	
183	0.529	0.29	0	0.106	0.063	0.012	
184	0.479	0.261	0	0.141	0.09	0.029	
