ID	DS1	DS2	DS3	DS4	DS5	DS6
119	0.554	0.017	0.017	0.336	0.066	0.01	
120	0.575	0.02	0.029	0.323	0.043	0.01	
121	0.357	0.019	0.024	0.432	0.113	0.055	
122	0.461	0.022	0.019	0.367	0.094	0.037	
123	0.494	0.022	0.014	0.385	0.074	0.011	
124	0.354	0.017	0.023	0.4	0.135	0.071	
125	0.54	0.024	0.015	0.347	0.056	0.018	
126	0.53	0.019	0.015	0.35	0.069	0.017	
127	0.559	0.009	0.019	0.347	0.053	0.013	
128	0.597	0.023	0.016	0.303	0.051	0.01	
129	0.337	0.022	0.021	0.389	0.169	0.062	
130	0.434	0.022	0.019	0.383	0.103	0.039	
131	0.464	0.016	0.015	0.397	0.077	0.031	
132	0.374	0.026	0.022	0.37	0.139	0.069	
133	0.533	0.025	0.018	0.359	0.05	0.015	
134	0.54	0.018	0.02	0.335	0.061	0.026	
135	0.562	0.013	0.024	0.317	0.062	0.022	
136	0.577	0.02	0.024	0.316	0.052	0.011	
137	0.333	0.022	0.012	0.407	0.138	0.088	
138	0.398	0.021	0.02	0.419	0.101	0.041	
139	0.448	0.023	0.027	0.389	0.085	0.028	
140	0.358	0.012	0.013	0.386	0.163	0.068	
141	0.536	0.025	0.018	0.351	0.052	0.018	
142	0.526	0.024	0.015	0.364	0.061	0.01	
143	0.558	0.019	0.019	0.323	0.069	0.012	
144	0.576	0.015	0.018	0.33	0.049	0.012	
145	0.361	0.023	0.016	0.389	0.136	0.075	
146	0.402	0.021	0.024	0.418	0.093	0.042	
147	0.456	0.017	0.02	0.409	0.076	0.022	
148	0.331	0.016	0.017	0.391	0.165	0.08	
149	0.586	0.02	0.018	0.318	0.042	0.016	
150	0.544	0.019	0.02	0.336	0.066	0.015	
151	0.575	0.019	0.019	0.315	0.06	0.012	
152	0.578	0.026	0.028	0.312	0.051	0.005	
153	0.363	0.021	0.017	0.393	0.139	0.067	
154	0.424	0.014	0.022	0.412	0.09	0.038	
155	0.464	0.021	0.024	0.377	0.086	0.028	
156	0.352	0.016	0.017	0.405	0.137	0.073	
157	0.596	0.013	0.013	0.327	0.043	0.008	
158	0.54	0.015	0.023	0.343	0.057	0.022	
159	0.625	0.014	0.015	0.278	0.054	0.014	
160	0.603	0.025	0.023	0.312	0.03	0.007	
161	0.393	0.017	0.009	0.402	0.117	0.062	
162	0.448	0.02	0.029	0.371	0.098	0.034	
163	0.466	0.021	0.013	0.378	0.099	0.023	
164	0.377	0.021	0.018	0.385	0.141	0.058	
165	0.618	0.022	0.018	0.311	0.026	0.005	
166	0.597	0.027	0.019	0.295	0.053	0.009	
167	0.621	0.02	0.013	0.293	0.036	0.017	
168	0.634	0.017	0.02	0.295	0.033	0.001	
169	0.435	0.018	0.015	0.369	0.111	0.052	
170	0.485	0.016	0.024	0.355	0.081	0.039	
171	0.504	0.023	0.022	0.363	0.069	0.019	
172	0.397	0.018	0.021	0.383	0.126	0.055	
173	0.683	0.023	0.016	0.257	0.019	0.002	
174	0.625	0.027	0.015	0.292	0.036	0.005	
175	0.707	0.016	0.017	0.222	0.032	0.006	
176	0.721	0.017	0.017	0.227	0.016	0.002	
177	0.417	0.016	0.018	0.398	0.106	0.045	
178	0.493	0.017	0.028	0.353	0.079	0.03	
179	0.547	0.023	0.019	0.339	0.055	0.017	
180	0.413	0.018	0.025	0.372	0.114	0.058	
181	0.744	0.019	0.011	0.204	0.021	0.001	
182	0.686	0.015	0.013	0.251	0.029	0.006	
183	0.74	0.013	0.012	0.2	0.027	0.008	
184	0.751	0.015	0.012	0.206	0.015	0.001	
185	0.512	0.025	0.013	0.361	0.069	0.02	
186	0.549	0.025	0.026	0.34	0.051	0.009	
187	0.617	0.02	0.026	0.301	0.029	0.007	
188	0.491	0.025	0.015	0.352	0.088	0.029	
189	0.845	0.013	0.011	0.122	0.009	0	
190	0.747	0.02	0.016	0.203	0.012	0.002	
191	0.802	0.014	0.01	0.163	0.01	0.001	
192	0.828	0.022	0.008	0.141	0.001	0	
193	0.804	0.054	0.048	0.092	0.001	0.001	
194	0.727	0.063	0.03	0.167	0.012	0.001	
195	0.682	0.024	0.025	0.225	0.037	0.007	
196	0.52	0.079	0.066	0.315	0.017	0.003	
197	0.844	0.011	0.009	0.118	0.015	0.003	
198	0.764	0.032	0.024	0.168	0.011	0.001	
199	0.86	0.039	0.026	0.072	0.003	0	
200	0.772	0.051	0.022	0.148	0.007	0	
