1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84
0.00907399	0.00893305	0.00882195	0.00874695	0.00975714	0.00954629	0.00943475	0.00943034	0.0106634	0.0104218	0.0103027	0.00118892	0.00208619	0.0019544	0.0017294	0.00227461	0.00316131	0.00327072	0.00283967	0.00176559	0.00217897	0.0022991	0.00180312	0.00110637	0.00146475	0.00150549	0.00126237	0.00151931	0.00244889	0.00246215	0.00221569	0.00136313	0.00196878	0.00193151	0.00158311	0.00124226	0.00106833	0.00157753	0.00157973	0.000986995	0.00197545	0.00247769	0.00248197	0.00203014	0.00112287	0.00174559	0.00174365	0.00124603	0.00356182	0.00391148	0.00394301	0.00324113	0.00662842	0.00718536	0.00704839	0.00630478	0.00543131	0.00654495	0.00640435	0.00522259	0.00405841	0.00392868	0.0038884	0.00367982	0.00565638	0.00625157	0.00625011	0.00569786	0.00444063	0.00549738	0.00545345	0.00441361	0.00326222	0.0041243	0.00415187	0.00347373	0.00273137	0.00274831	0.00273094	0.00288565	0.0036171	0.00469889	0.00472637	0.00375324
0.00702584	0.00699552	0.00706083	0.00718167	0.00640629	0.00644322	0.0065036	0.0065467	0.00703085	0.00694309	0.0069174	0.00108394	0.00157062	0.00160581	0.00166095	0.00209886	0.00218954	0.00226985	0.00221803	0.0018552	0.00152816	0.00165304	0.00168853	0.000816102	0.00116087	0.00121347	0.00105873	0.001442	0.00157321	0.0016342	0.00154812	0.00104967	0.00103032	0.001068	0.000980927	0.00107385	0.000965464	0.0012543	0.00125276	0.000893415	0.00142181	0.00171299	0.00172167	0.00150696	0.00102431	0.00143797	0.0014366	0.00111644	0.00293345	0.00334044	0.00335202	0.00293199	0.00385624	0.00412036	0.0041276	0.0038773	0.00280405	0.0034554	0.00346992	0.00300527	0.00254272	0.0029431	0.00291719	0.00245935	0.00361395	0.00358741	0.00356154	0.00356331	0.00238062	0.00305343	0.00314706	0.00269763	0.00279859	0.00336463	0.00336847	0.00285374	0.00213128	0.00188511	0.00188843	0.00213695	0.00252989	0.00303968	0.00303417	0.0025565
0.00498616	0.00505449	0.0049921	0.00498015	0.0054736	0.00548761	0.00542423	0.0052973	0.00595019	0.00581335	0.00574099	0.00103732	0.00188907	0.00188518	0.0016992	0.00204311	0.00227422	0.00226973	0.00215329	0.00174471	0.0016072	0.00166924	0.00171495	0.000857123	0.00158822	0.00161848	0.00148489	0.00163412	0.00175257	0.00179637	0.00174728	0.0014191	0.00166245	0.00166265	0.00154211	0.000928647	0.00082866	0.00122627	0.00122053	0.000813594	0.00137827	0.00179285	0.0017783	0.00140667	0.00108015	0.00138869	0.00138706	0.00117998	0.00322227	0.00402718	0.00400894	0.00311468	0.00400253	0.00455524	0.00451357	0.00393827	0.00262971	0.00308642	0.00310054	0.00270834	0.00342436	0.00371933	0.00373215	0.0033168	0.00534885	0.00550457	0.00545247	0.00518033	0.00390994	0.00440144	0.00435249	0.00375213	0.00341785	0.00411116	0.00414769	0.00357512	0.00421317	0.00391704	0.00388092	0.00409711	0.00415025	0.00481953	0.0048015	0.00408551
0.00602439	0.00595151	0.00598974	0.00605883	0.00551195	0.00551867	0.00556693	0.00557479	0.00520141	0.00514634	0.00515545	0.000903095	0.00181896	0.00185367	0.0016745	0.00221673	0.00236905	0.00240458	0.002312	0.00191193	0.00171557	0.00172119	0.0019331	0.000910957	0.001746	0.00171496	0.00155876	0.00168281	0.00189138	0.00191719	0.00178502	0.0013376	0.00144966	0.00147581	0.00144712	0.00114052	0.000969673	0.00141606	0.0014037	0.000926125	0.00154239	0.0020128	0.00196608	0.00150981	0.000951022	0.00117639	0.00114932	0.000911415	0.0041527	0.00501481	0.00500894	0.00409178	0.00565793	0.00627743	0.00616347	0.00538276	0.00278298	0.003142	0.00313773	0.00298447	0.00334314	0.00390868	0.00395258	0.00350187	0.00456742	0.00481028	0.00486319	0.00480237	0.00305553	0.00375993	0.00374431	0.00312723	0.00393599	0.00474813	0.00479248	0.00410005	0.0035477	0.00338255	0.00344206	0.00378881	0.00335724	0.00404564	0.00400165	0.00329159
0.00349113	0.00351616	0.00357252	0.003616	0.00351991	0.00356447	0.00354502	0.00350056	0.00374258	0.00372219	0.00370452	0.000535068	0.00148236	0.0014819	0.00130855	0.00158373	0.00172816	0.00174912	0.00163371	0.00121952	0.00127904	0.00131338	0.00113664	0.00052932	0.00121	0.00124795	0.00109503	0.00133647	0.00150165	0.00153312	0.00140533	0.000967212	0.000969853	0.00100133	0.000854167	0.000567736	0.000594686	0.000902552	0.000896417	0.000558056	0.00105411	0.00134086	0.00131956	0.000980618	0.000618673	0.000908719	0.000910442	0.000656395	0.00275531	0.00346722	0.00341413	0.00248189	0.00360294	0.00405632	0.00399384	0.00336911	0.00179518	0.00223776	0.0022391	0.00187206	0.00250706	0.00301107	0.00295709	0.00219825	0.00298622	0.00304906	0.00296968	0.00267583	0.00174942	0.00188749	0.00191033	0.00176542	0.00232861	0.00282431	0.0028237	0.00213053	0.00160075	0.00144296	0.00146556	0.00156445	0.00220116	0.002691	0.00271998	0.00221037
0.00409915	0.00409052	0.00411279	0.00412466	0.00397119	0.00403077	0.00401998	0.00397207	0.00429229	0.00429012	0.00428255	0.00063834	0.00125814	0.00127114	0.00133067	0.00161004	0.00188766	0.00195176	0.00188448	0.00150354	0.00165715	0.00172141	0.001542	0.000588764	0.00105795	0.00107801	0.00103653	0.00140389	0.00167319	0.00172693	0.0016342	0.00129349	0.00137334	0.00141116	0.00122548	0.000709786	0.00079596	0.00105163	0.00105069	0.000744588	0.00122898	0.0017003	0.0017134	0.00132994	0.000759815	0.0011838	0.00119143	0.000833516	0.00205092	0.00221758	0.00221439	0.00195993	0.0039744	0.00452261	0.00455622	0.0040638	0.00293657	0.00376012	0.00376587	0.00307143	0.00173597	0.00205916	0.00205669	0.0018096	0.00256802	0.00281609	0.00289357	0.00289421	0.00199554	0.00263888	0.0027041	0.00231533	0.00256552	0.00312773	0.00313124	0.00259564	0.00212571	0.00184381	0.00180603	0.00201074	0.00288325	0.00341754	0.00337185	0.0027087
0.0126589	0.0125332	0.0126365	0.0130608	0.0114442	0.0114698	0.0115677	0.0118079	0.0105626	0.0106908	0.0107968	0.00133943	0.00200892	0.00203836	0.00208096	0.00279221	0.00322845	0.00322416	0.00286147	0.0024405	0.00200454	0.00206678	0.00223804	0.00116255	0.00133091	0.00135206	0.00119978	0.00148068	0.00197379	0.00207328	0.00192228	0.00123852	0.00144569	0.00153226	0.00133319	0.0016062	0.00152755	0.00207374	0.00207082	0.00138345	0.00258088	0.00303221	0.00304694	0.00250043	0.00108793	0.00167906	0.00167531	0.00115803	0.00522722	0.00585565	0.00585173	0.00507922	0.00615717	0.00622746	0.00626513	0.0061259	0.00496812	0.00573266	0.00575739	0.005044	0.00359997	0.00392491	0.00391026	0.00354004	0.00495729	0.00526068	0.00538653	0.00534542	0.00375174	0.00442701	0.00447225	0.00393301	0.00306131	0.00374342	0.00371878	0.00309882	0.0029903	0.00276898	0.00274018	0.00297856	0.00346474	0.00412416	0.00412673	0.00347267
0.00705012	0.00698431	0.00702321	0.00713943	0.00669737	0.00658616	0.00655108	0.00662243	0.00735403	0.00720825	0.00714503	0.000849802	0.00153012	0.00148386	0.00139535	0.00182845	0.00229458	0.00237221	0.00217763	0.00163549	0.00161173	0.00172025	0.00140476	0.00143582	0.00137694	0.00138687	0.00116305	0.00149099	0.00167115	0.00172952	0.00159323	0.00102309	0.0012941	0.0013489	0.00108141	0.00195185	0.00109587	0.00145776	0.00148128	0.00101898	0.00172616	0.00205081	0.002062	0.0016093	0.00099528	0.00153244	0.00153199	0.00113911	0.00311679	0.00373291	0.00373941	0.00297411	0.00421016	0.00459647	0.00456792	0.00406035	0.0034571	0.00393243	0.0038184	0.00327625	0.00264357	0.00309224	0.00300963	0.00241531	0.00357446	0.0036053	0.00351354	0.00330162	0.00222157	0.00265371	0.00262092	0.00220349	0.00288997	0.00347354	0.0034978	0.00295452	0.00231485	0.0020808	0.00209675	0.00228707	0.00206769	0.00257491	0.00260767	0.00218226
0.00210927	0.00216278	0.00216294	0.00212513	0.00221294	0.00223706	0.00223607	0.00222249	0.00227403	0.0022847	0.0022827	0.000334429	0.000844473	0.000870597	0.000770122	0.000822529	0.00106485	0.00110182	0.00101622	0.000845962	0.000936919	0.000967073	0.000861576	0.000502091	0.000765896	0.000774476	0.000695276	0.000796536	0.000854332	0.000866148	0.000817749	0.000712481	0.000809296	0.000828443	0.000724592	0.000457987	0.000450051	0.00062426	0.00062548	0.000429913	0.000677872	0.000809642	0.000812596	0.00071921	0.000532754	0.000771723	0.000770358	0.000566985	0.00162907	0.0020415	0.00200484	0.00136113	0.0020747	0.00223262	0.00218149	0.00179069	0.00128304	0.00195065	0.00198806	0.00152525	0.00168235	0.0021641	0.00211712	0.00138077	0.00195226	0.00203177	0.0019865	0.00169413	0.00123856	0.00190836	0.00195435	0.00155377	0.00241785	0.00305953	0.00304592	0.00251965	0.00170023	0.00161485	0.0016388	0.00183803	0.00223928	0.00278617	0.00278647	0.00218717
0.0111627	0.0110681	0.0111307	0.011367	0.0115735	0.0112358	0.011105	0.011047	0.0127012	0.012312	0.0121597	0.00149584	0.00248894	0.00238161	0.00217673	0.00245083	0.0037569	0.00386386	0.00342644	0.00220564	0.00235991	0.0025065	0.00229878	0.00160021	0.00175491	0.00180007	0.00153307	0.00184933	0.00260642	0.00266475	0.00242686	0.00179452	0.00207216	0.00206985	0.00191635	0.00199988	0.00140311	0.00207362	0.00210455	0.00133587	0.00244537	0.00328751	0.00322279	0.00238477	0.00127372	0.0021389	0.00208887	0.00131938	0.00765029	0.00878577	0.00867138	0.00712547	0.00923586	0.00976281	0.00958548	0.00897375	0.00677958	0.00813592	0.00814556	0.00695797	0.00504661	0.00590533	0.00593087	0.00488707	0.00684904	0.00721025	0.00718013	0.00670735	0.00488176	0.0054462	0.00543405	0.00495774	0.00374093	0.0045808	0.00457786	0.00374878	0.00349331	0.0033404	0.00338998	0.00360369	0.00393433	0.00486284	0.00489654	0.00404276
