ID	DS1	DS2	DS3	DS4	DS5	DS6
128	0.169	0.296	0	0.274	0.205	0.056	
129	0.147	0.315	0	0.244	0.226	0.068	
130	0.142	0.333	0	0.271	0.197	0.057	
131	0.165	0.37	0	0.251	0.186	0.028	
132	0.732	0.186	0	0.049	0.029	0.004	
133	0.137	0.397	0	0.257	0.184	0.025	
134	0.216	0.316	0	0.188	0.187	0.093	
135	0.609	0.333	0	0.037	0.021	0	
136	0.599	0.326	0	0.053	0.022	0	
137	0.241	0.263	0	0.192	0.198	0.106	
138	0.176	0.437	0	0.222	0.147	0.018	
139	0.621	0.195	0	0.079	0.072	0.033	
140	0.158	0.323	0	0.266	0.209	0.044	
141	0.146	0.287	0	0.251	0.234	0.082	
142	0.145	0.292	0	0.245	0.247	0.071	
143	0.154	0.346	0	0.27	0.201	0.029	
144	0.687	0.199	0	0.061	0.041	0.012	
145	0.129	0.409	0	0.247	0.193	0.022	
146	0.213	0.278	0	0.203	0.19	0.116	
147	0.626	0.303	0	0.043	0.027	0.001	
148	0.587	0.323	0	0.061	0.029	0	
149	0.237	0.276	0	0.18	0.213	0.094	
150	0.16	0.386	0	0.248	0.192	0.014	
151	0.552	0.201	0	0.111	0.079	0.057	
152	0.144	0.308	0	0.266	0.219	0.063	
153	0.165	0.258	0	0.237	0.255	0.085	
154	0.142	0.281	0	0.232	0.252	0.093	
155	0.153	0.358	0	0.243	0.211	0.035	
156	0.672	0.198	0	0.071	0.043	0.016	
157	0.143	0.338	0	0.244	0.222	0.053	
158	0.188	0.228	0	0.205	0.259	0.12	
159	0.582	0.293	0	0.084	0.04	0.001	
160	0.527	0.325	0	0.093	0.053	0.002	
161	0.194	0.283	0	0.194	0.228	0.101	
162	0.149	0.338	0	0.249	0.221	0.043	
163	0.531	0.204	0	0.1	0.1	0.065	
164	0.147	0.285	0	0.261	0.236	0.071	
165	0.147	0.272	0	0.242	0.255	0.084	
166	0.14	0.284	0	0.259	0.244	0.073	
167	0.152	0.379	0	0.236	0.202	0.031	
168	0.587	0.206	0	0.103	0.073	0.031	
169	0.151	0.282	0	0.246	0.242	0.079	
170	0.173	0.254	0	0.218	0.214	0.141	
171	0.545	0.286	0	0.105	0.06	0.004	
