ID	DS1	DS2	DS3	DS4	DS5	DS6
131	0.462	0.177	0.194	0.07	0.041	0.056	
132	0.985	0.014	0	0.001	0	0	
133	0.999	0.001	0	0	0	0	
134	0.754	0.153	0.073	0.014	0.002	0.004	
135	0.468	0.221	0.176	0.071	0.032	0.032	
136	0.738	0.134	0.071	0.032	0.013	0.012	
137	0.445	0.171	0.21	0.061	0.049	0.064	
138	0.532	0.219	0.177	0.045	0.014	0.013	
139	0.475	0.171	0.211	0.063	0.034	0.046	
140	0.392	0.155	0.214	0.069	0.06	0.11	
141	0.588	0.166	0.164	0.043	0.019	0.02	
142	0.436	0.187	0.211	0.068	0.045	0.053	
143	0.623	0.184	0.145	0.03	0.009	0.009	
144	0.299	0.174	0.236	0.102	0.062	0.127	
145	0.984	0.012	0.004	0	0	0	
146	0.921	0.043	0.032	0.003	0.001	0	
147	0.413	0.196	0.218	0.082	0.039	0.052	
148	0.16	0.153	0.259	0.105	0.102	0.221	
149	0.226	0.169	0.273	0.116	0.085	0.131	
150	0.599	0.201	0.155	0.025	0.013	0.007	
151	0.945	0.036	0.019	0	0	0	
152	0.724	0.108	0.093	0.037	0.014	0.024	
153	0.852	0.086	0.043	0.011	0.003	0.005	
154	0.851	0.082	0.054	0.007	0.003	0.003	
155	0.452	0.202	0.217	0.061	0.036	0.032	
156	0.159	0.12	0.269	0.116	0.115	0.221	
157	0.251	0.151	0.267	0.123	0.08	0.128	
158	0.483	0.236	0.215	0.042	0.011	0.013	
159	0.944	0.038	0.016	0.001	0.001	0	
160	0.988	0.012	0	0	0	0	
161	0.882	0.081	0.032	0.003	0.001	0.001	
162	0.526	0.202	0.179	0.05	0.024	0.019	
163	0.422	0.225	0.23	0.065	0.025	0.033	
164	0.723	0.107	0.105	0.037	0.011	0.017	
165	0.937	0.055	0.008	0	0	0	
166	0.642	0.167	0.145	0.034	0.008	0.004	
167	0.315	0.201	0.272	0.093	0.049	0.07	
168	0.593	0.167	0.127	0.053	0.024	0.036	
169	0.822	0.089	0.063	0.015	0.003	0.008	
170	0.46	0.185	0.194	0.064	0.05	0.047	
171	0.575	0.181	0.176	0.039	0.019	0.01	
172	0.981	0.016	0.003	0	0	0	
173	0.984	0.013	0.003	0	0	0	
174	0.699	0.161	0.105	0.026	0.005	0.004	
175	0.999	0.001	0	0	0	0	
176	1	0	0	0	0	0	
177	1	0	0	0	0	0	
178	0.916	0.058	0.02	0.005	0	0.001	
179	0.432	0.192	0.197	0.072	0.042	0.065	
180	0.99	0.009	0.001	0	0	0	
181	0.993	0.005	0.002	0	0	0	
182	0.702	0.152	0.112	0.022	0.007	0.005	
183	0.445	0.169	0.216	0.064	0.037	0.069	
184	0.733	0.132	0.094	0.02	0.01	0.011	
185	0.367	0.194	0.229	0.061	0.064	0.085	
186	0.585	0.195	0.159	0.035	0.015	0.011	
187	0.401	0.196	0.223	0.075	0.05	0.055	
188	0.329	0.161	0.244	0.091	0.074	0.101	
189	0.519	0.176	0.203	0.05	0.021	0.031	
190	0.405	0.168	0.251	0.072	0.044	0.06	
191	0.553	0.207	0.164	0.045	0.016	0.015	
192	0.268	0.174	0.226	0.102	0.087	0.143	
193	0.984	0.013	0.003	0	0	0	
194	0.915	0.047	0.03	0.004	0.002	0.002	
195	0.381	0.195	0.245	0.076	0.038	0.065	
196	0.153	0.129	0.252	0.106	0.114	0.246	
197	0.217	0.149	0.279	0.111	0.092	0.152	
198	0.582	0.209	0.164	0.026	0.012	0.007	
199	0.957	0.031	0.01	0.001	0.001	0	
200	0.748	0.11	0.087	0.032	0.012	0.011	
201	0.884	0.065	0.038	0.012	0.001	0	
202	0.886	0.066	0.035	0.01	0.001	0.002	
203	0.428	0.206	0.203	0.074	0.036	0.053	
204	0.139	0.099	0.23	0.131	0.111	0.29	
205	0.203	0.158	0.252	0.131	0.1	0.156	
206	0.462	0.249	0.201	0.053	0.016	0.019	
207	0.954	0.028	0.014	0.004	0	0	
208	0.988	0.011	0.001	0	0	0	
209	0.867	0.088	0.038	0.005	0.001	0.001	
210	0.517	0.214	0.169	0.057	0.019	0.024	
211	0.415	0.219	0.232	0.072	0.028	0.034	
212	0.744	0.114	0.082	0.033	0.011	0.016	
213	0.927	0.061	0.012	0	0	0	
214	0.645	0.181	0.127	0.032	0.009	0.006	
215	0.28	0.207	0.265	0.12	0.057	0.071	
216	0.571	0.155	0.153	0.048	0.031	0.042	
217	0.81	0.092	0.073	0.014	0.005	0.006	
218	0.418	0.184	0.199	0.069	0.056	0.074	
219	0.582	0.183	0.151	0.049	0.017	0.018	
220	0.978	0.021	0.001	0	0	0	
221	0.984	0.014	0.002	0	0	0	
222	0.664	0.16	0.134	0.03	0.004	0.008	
223	0.999	0.001	0	0	0	0	
224	0.998	0.002	0	0	0	0	
225	1	0	0	0	0	0	
226	0.94	0.033	0.019	0.005	0.001	0.002	
227	0.423	0.187	0.21	0.072	0.042	0.066	
228	0.988	0.01	0.002	0	0	0	
229	0.991	0.008	0.001	0	0	0	
230	0.7	0.146	0.119	0.024	0.01	0.001	
231	0.381	0.189	0.214	0.078	0.057	0.081	
232	0.755	0.11	0.096	0.026	0.006	0.007	
233	0.346	0.187	0.224	0.082	0.065	0.096	
234	0.568	0.196	0.168	0.04	0.014	0.014	
235	0.362	0.211	0.25	0.077	0.043	0.057	
236	0.318	0.161	0.269	0.105	0.051	0.096	
237	0.524	0.181	0.171	0.061	0.031	0.032	
238	0.395	0.184	0.213	0.089	0.052	0.067	
239	0.517	0.196	0.193	0.047	0.021	0.026	
240	0.24	0.149	0.241	0.115	0.083	0.172	
241	0.99	0.01	0	0	0	0	
242	0.912	0.058	0.019	0.008	0	0.003	
243	0.363	0.195	0.227	0.099	0.049	0.067	
244	0.135	0.096	0.24	0.129	0.121	0.279	
245	0.201	0.153	0.265	0.117	0.108	0.156	
246	0.548	0.22	0.18	0.03	0.017	0.005	
247	0.971	0.02	0.009	0	0	0	
248	0.807	0.092	0.075	0.014	0.006	0.006	
249	0.901	0.061	0.03	0.007	0.001	0	
250	0.924	0.048	0.026	0.001	0	0.001	
251	0.399	0.205	0.227	0.068	0.05	0.051	
252	0.119	0.108	0.209	0.136	0.114	0.314	
253	0.191	0.164	0.259	0.128	0.098	0.16	
254	0.42	0.24	0.237	0.061	0.023	0.019	
255	0.946	0.038	0.013	0.001	0.002	0	
256	0.99	0.008	0.002	0	0	0	
257	0.878	0.083	0.032	0.005	0.001	0.001	
258	0.527	0.181	0.189	0.052	0.025	0.026	
259	0.425	0.192	0.243	0.064	0.039	0.037	
260	0.747	0.116	0.085	0.034	0.005	0.013	
261	0.942	0.046	0.012	0	0	0	
262	0.677	0.174	0.125	0.019	0.002	0.003	
263	0.272	0.196	0.286	0.103	0.065	0.078	
264	0.567	0.172	0.138	0.053	0.028	0.042	
265	0.816	0.091	0.063	0.02	0.006	0.004	
266	0.404	0.17	0.225	0.079	0.052	0.07	
267	0.545	0.21	0.159	0.042	0.02	0.024	
268	0.975	0.024	0.001	0	0	0	
269	0.99	0.009	0.001	0	0	0	
270	0.609	0.197	0.143	0.034	0.006	0.011	
271	0.998	0.002	0	0	0	0	
