ID	volume
1	1.092
2	1.092
3	1.092
4	1.092
5	1.092
6	1.092
7	1.092
8	1.092
9	1.092
10	1.092
11	1.092
12	1.092
13	1.092
14	1.092
15	1.092
16	1.092
17	1.092
18	1.092
19	1.092
20	1.092
21	1.092
22	1.092
23	1.092
24	1.092
25	1.092
26	1.092
27	1.092
28	1.092
29	1.092
30	1.092
31	1.092
32	1.092
33	1.092
34	1.092
35	1.092
36	1.092
37	1.092
38	1.092
39	1.092
40	1.092
41	1.092
42	1.092
43	1.092
44	1.092
45	1.092
46	1.092
47	1.092
48	1.092
49	1.092
50	1.092
51	1.092
52	1.092
53	1.092
54	1.092
55	1.092
56	1.092
57	1.092
58	1.092
59	1.092
60	1.092
61	1.092
62	1.092
63	1.092
64	1.092
65	1.092
66	1.092
67	1.092
68	1.092
69	1.092
70	1.092
71	1.092
72	1.092
73	1.092
74	1.092
75	1.092
76	1.092
77	1.092
78	1.092
79	1.092
80	1.092
81	1.092
82	1.092
83	1.092
84	1.092
85	0.936
86	0.936
87	0.936
88	0.936
89	0.936
90	0.936
91	0.936
92	0.936
93	0.936
94	0.936
95	0.936
96	0.936
97	0.936
98	0.936
99	0.936
100	0.936
101	0.936
102	0.936
103	0.936
104	0.936
105	0.936
106	0.936
107	0.936
108	0.936
109	0.936
110	0.936
111	0.936
112	0.936
113	0.936
114	0.936
115	0.936
116	0.936
117	0.936
118	0.936
119	0.936
120	0.936
121	0.936
122	0.936
123	0.936
124	0.936
125	0.936
126	0.936
127	0.936
128	0.936
129	0.936
130	0.936
131	0.936
132	0.936
133	0.936
134	0.936
135	0.936
136	0.936
137	0.936
138	0.936
139	0.936
140	0.936
141	0.936
142	0.936
143	0.936
144	0.936
145	0.936
146	0.936
147	0.936
148	0.936
149	0.936
150	0.936
151	0.936
152	0.936
153	0.936
154	0.936
155	0.936
156	0.936
157	0.936
158	0.936
159	0.936
160	0.936
161	0.936
162	0.936
163	0.936
164	0.936
165	0.936
166	0.936
167	0.936
168	0.936
169	0.936
170	0.936
171	0.936
172	0.936
173	0.936
174	0.936
175	0.936
176	0.936
177	0.936
178	0.936
179	0.936
180	0.936
181	0.936
182	0.936
183	0.936
184	0.936
185	0.936
186	0.936
187	0.936
188	0.936
189	0.936
190	0.936
191	0.936
192	0.936
193	0.78
194	0.78
195	0.78
196	0.78
197	0.78
198	0.78
199	0.78
200	0.78
201	0.78
202	0.78
203	0.78
204	0.78
205	0.78
206	0.78
207	0.78
208	0.78
209	0.78
210	0.78
211	0.78
212	0.78
213	0.78
214	0.78
215	0.78
216	0.78
217	0.78
218	0.78
219	0.78
220	0.78
221	0.78
222	0.78
223	0.78
224	0.78
225	0.78
226	0.78
227	0.78
228	0.78
229	0.78
230	0.78
231	0.78
232	0.78
233	0.78
234	0.78
235	0.78
236	0.78
237	0.78
238	0.78
239	0.78
240	0.78
241	0.78
242	0.78
243	0.78
244	0.78
245	0.78
246	0.78
247	0.78
248	0.78
249	0.78
250	0.78
251	0.78
252	0.78
253	0.78
254	0.78
255	0.78
256	0.78
257	0.78
258	0.78
259	0.78
260	0.78
261	0.78
262	0.78
263	0.78
264	0.78
265	0.78
266	0.78
267	0.78
268	0.78
269	0.78
270	0.78
271	0.78
272	0.78
273	0.78
274	0.78
275	0.78
276	0.78
277	0.78
278	0.78
279	0.78
280	0.78
281	0.78
282	0.78
283	0.78
284	0.78
285	0.78
286	0.78
287	0.78
288	0.78
289	0.78
290	0.78
291	0.78
292	0.78
293	0.78
294	0.78
295	0.78
296	0.78
297	0.78
298	0.78
299	0.78
300	0.78
301	2.331
302	2.331
303	2.331
304	2.331
305	2.331
306	2.331
307	2.331
308	2.331
309	2.331
310	2.331
311	2.331
312	2.331
313	2.331
314	2.331
315	2.331
316	2.331
317	2.331
318	2.331
319	2.331
320	2.331
321	2.331
322	2.331
323	2.331
324	2.331
325	2.331
326	2.331
327	2.331
328	2.331
329	2.331
330	2.331
331	2.331
332	2.331
333	2.331
334	2.331
335	2.331
336	2.331
337	2.331
338	2.331
339	2.331
340	2.331
341	2.331
342	2.331
343	2.331
344	2.331
345	2.331
346	2.331
347	2.331
348	2.331
349	2.331
350	2.331
351	2.331
352	2.331
353	2.331
354	2.331
355	2.331
356	2.331
357	2.331
358	2.331
359	2.331
360	2.331
361	2.331
362	2.331
363	2.331
364	2.331
365	2.331
366	2.331
367	2.331
368	2.331
369	2.331
370	2.331
371	2.331
372	2.331
373	2.331
374	2.331
375	2.331
376	2.331
377	2.331
378	2.331
379	2.331
380	2.331
381	2.331
382	2.331
383	2.331
384	2.331
385	2.331
386	2.331
387	2.331
388	2.331
389	2.331
390	2.331
391	2.331
392	2.331
393	2.331
394	2.331
395	2.331
396	2.331
397	2.331
398	2.331
399	2.331
400	2.331
401	2.331
402	2.331
403	2.331
404	2.331
405	2.331
406	2.331
407	2.331
408	2.331
409	2.331
410	2.331
411	2.331
412	2.331
413	2.331
414	2.331
415	2.331
416	2.331
417	2.331
418	2.331
419	2.331
420	2.331
421	2.331
422	2.331
423	2.331
424	2.331
425	2.331
426	2.331
427	2.331
428	2.331
429	2.331
430	2.331
431	2.331
432	2.331
433	2.331
434	2.331
435	2.331
436	2.331
437	2.331
438	2.331
439	2.331
440	2.331
441	2.331
442	2.331
443	2.331
444	2.331
445	2.331
446	2.331
447	2.331
448	2.331
449	2.331
450	2.331
451	2.331
452	2.331
453	2.331
454	2.331
455	2.331
456	2.331
457	2.331
458	2.331
459	2.331
460	2.331
461	2.331
462	2.331
463	2.331
464	2.331
465	2.331
466	2.331
467	2.331
468	2.331
469	2.331
470	2.331
471	2.331
472	2.331
473	2.331
474	2.331
475	2.331
476	2.331
477	2.331
478	2.331
479	2.331
480	2.331
481	2.331
482	2.331
483	2.331
484	2.331
485	2.331
486	2.331
487	2.331
488	2.331
489	2.331
490	2.331
491	2.331
492	2.331
493	2.331
494	2.331
495	2.331
496	2.331
497	2.331
498	2.331
499	2.331
500	2.331
501	2.331
502	2.331
503	2.331
504	2.331
505	2.331
506	2.331
507	2.331
508	2.331
509	2.331
510	2.331
511	2.331
512	2.331
513	2.331
514	2.331
515	2.331
516	2.331
517	2.331
518	2.331
519	2.331
520	2.331
521	2.331
522	2.331
523	2.331
524	2.331
525	2.331
526	2.331
527	2.331
528	2.331
529	2.331
530	2.331
531	2.331
532	2.331
533	2.331
534	2.331
535	2.331
536	2.331
537	2.331
538	2.331
539	2.331
540	2.331
541	2.331
542	2.331
543	2.331
544	2.331
545	2.331
546	2.331
547	2.331
548	2.331
549	2.331
550	2.331
551	2.331
552	2.331
553	2.331
554	2.331
555	2.331
556	2.331
557	2.331
558	2.331
559	2.331
560	2.331
561	2.331
562	2.331
563	2.331
564	2.331
565	2.331
566	2.331
567	2.331
568	2.331
569	2.331
570	2.331
571	2.331
572	2.331
573	2.331
574	2.331
575	2.331
576	2.331
577	2.331
578	2.331
579	2.331
580	2.331
581	2.331
582	2.331
583	2.331
584	2.331
585	2.331
586	2.331
587	2.331
588	2.331
589	2.331
590	2.331
591	2.331
592	2.331
593	2.331
594	2.331
595	2.331
596	2.331
597	2.331
598	2.331
599	2.331
600	2.331
