配构件编号：	1
Floor	DS1	DS2	DS3	DS4
19	0.991	0.009	0	0	
20	0.992	0.008	0	0	
21	0.991	0.009	0	0	
22	0.99	0.01	0	0	
23	0.986	0.014	0	0	
24	0.982	0.018	0	0	
25	0.976	0.023	0.001	0	


配构件编号：	9
Floor	DS1	DS2	DS3	DS4
1	1	0	0	0	
2	1	0	0	0	
3	1	0	0	0	
4	1	0	0	0	
5	0.999	0.001	0	0	
6	0.999	0.001	0	0	
7	0.999	0.001	0	0	
8	0.998	0.002	0	0	
9	0.998	0.002	0	0	
10	0.998	0.002	0	0	
11	0.998	0.002	0	0	
12	0.998	0.002	0	0	
13	0.998	0.002	0	0	
14	0.998	0.002	0	0	
15	0.998	0.002	0	0	
16	0.998	0.002	0	0	
17	0.999	0.001	0	0	
18	1	0	0	0	
19	1	0	0	0	
20	1	0	0	0	
21	1	0	0	0	
22	1	0	0	0	
23	1	0	0	0	
24	1	0	0	0	
25	0.999	0.001	0	0	


配构件编号：	10
Floor	DS1	DS2	DS3	DS4
1	0.991	0.009	0	0	
2	0.99	0.01	0	0	
3	0.988	0.012	0	0	
4	0.987	0.013	0	0	
5	0.988	0.012	0	0	
6	0.986	0.014	0	0	
7	0.984	0.016	0	0	
8	0.982	0.018	0	0	
9	0.976	0.024	0	0	
10	0.978	0.022	0	0	
11	0.98	0.02	0	0	
12	0.979	0.021	0	0	
13	0.979	0.021	0	0	
14	0.98	0.02	0	0	
15	0.98	0.02	0	0	
16	0.983	0.017	0	0	
17	0.988	0.012	0	0	
18	0.994	0.006	0	0	
19	0.994	0.006	0	0	
20	0.992	0.008	0	0	
21	0.992	0.008	0	0	
22	0.992	0.008	0	0	
23	0.988	0.012	0	0	
24	0.985	0.015	0	0	
25	0.975	0.025	0	0	


配构件编号：	11
Floor	DS1	DS2	DS3	DS4
1	0.78	0.198	0.022	0	
2	0.798	0.182	0.02	0	
3	0.805	0.179	0.016	0	
4	0.792	0.188	0.02	0	
5	0.788	0.188	0.024	0	
6	0.78	0.195	0.025	0	
7	0.765	0.208	0.027	0	
8	0.751	0.217	0.032	0	
9	0.739	0.222	0.039	0	
10	0.742	0.218	0.04	0	
11	0.743	0.219	0.038	0	
12	0.753	0.21	0.037	0	
13	0.761	0.202	0.037	0	
14	0.767	0.199	0.034	0	
15	0.777	0.19	0.033	0	
16	0.797	0.174	0.029	0	
17	0.815	0.161	0.024	0	
18	0.837	0.144	0.019	0	
19	0.849	0.137	0.014	0	
20	0.862	0.126	0.012	0	
21	0.856	0.13	0.014	0	
22	0.846	0.138	0.016	0	
23	0.823	0.157	0.02	0	
24	0.775	0.195	0.03	0	
25	0.728	0.236	0.036	0	


配构件编号：	12
Floor	DS1	DS2	DS3	DS4
1	0.998	0.002	0	0	
2	0.998	0.002	0	0	
3	0.995	0.005	0	0	
4	0.989	0.011	0	0	
5	0.99	0.01	0	0	
6	0.987	0.013	0	0	
7	0.989	0.011	0	0	
8	0.986	0.014	0	0	
9	0.982	0.018	0	0	
10	0.982	0.018	0	0	
11	0.984	0.016	0	0	
12	0.985	0.015	0	0	
13	0.983	0.017	0	0	
14	0.981	0.019	0	0	
15	0.985	0.015	0	0	
16	0.985	0.015	0	0	
17	0.988	0.012	0	0	
18	0.99	0.01	0	0	
19	0.993	0.007	0	0	
20	0.993	0.007	0	0	
21	0.993	0.007	0	0	
22	0.994	0.006	0	0	
23	0.992	0.008	0	0	
24	0.986	0.014	0	0	
25	0.979	0.021	0	0	


配构件编号：	13
Floor	DS1	DS2	DS3	DS4
1	0.952	0.036	0.012	0	
2	0.951	0.036	0.013	0	
3	0.95	0.03	0.02	0	
4	0.941	0.029	0.03	0	
5	0.94	0.031	0.029	0	
6	0.936	0.034	0.03	0	
7	0.93	0.039	0.031	0	
8	0.923	0.044	0.033	0	
9	0.915	0.047	0.038	0	
10	0.91	0.047	0.043	0	
11	0.915	0.043	0.042	0	
12	0.915	0.047	0.038	0	
13	0.918	0.047	0.035	0	
14	0.918	0.047	0.035	0	
15	0.923	0.044	0.033	0	
16	0.933	0.037	0.03	0	
17	0.945	0.033	0.022	0	
18	0.953	0.031	0.016	0	
19	0.962	0.024	0.014	0	
20	0.965	0.02	0.015	0	
21	0.962	0.022	0.016	0	
22	0.955	0.029	0.016	0	
23	0.945	0.036	0.019	0	
24	0.935	0.035	0.03	0	
25	0.915	0.043	0.042	0	


配构件编号：	14
Floor	DS1	DS2	DS3	DS4
1	0.987	0.013	0	0	
2	0.988	0.012	0	0	
3	0.988	0.012	0	0	
4	0.985	0.015	0	0	
5	0.983	0.017	0	0	
6	0.982	0.018	0	0	
7	0.98	0.02	0	0	
8	0.976	0.024	0	0	
9	0.973	0.027	0	0	
10	0.972	0.028	0	0	
11	0.975	0.025	0	0	
12	0.975	0.025	0	0	
13	0.978	0.022	0	0	
14	0.979	0.021	0	0	
15	0.98	0.02	0	0	
16	0.981	0.018	0.001	0	
17	0.988	0.012	0	0	
18	0.992	0.008	0	0	
19	0.993	0.007	0	0	
