,1,2,3,4,5,6,7
1,1.02932,1.02272,1.00264,0.865237,-0.0683085,0.983559,1.04211,
2,1.02272,0.98769,0.980552,0.911544,1.09892,1.17032,0.972725,
3,1.00264,0.980552,0.994021,1.05838,1.02596,-3.82265,0.965345,
4,0.865237,0.911544,1.05838,0.946438,0.952313,0.880894,0.778189,
5,-0.0683085,1.09892,1.02596,0.952313,1.01065,0.809338,1.09187,
6,0.983559,1.17032,-3.82265,0.880894,0.809338,0.969147,0.991624,
7,1.04211,0.972725,0.965345,0.778189,1.09187,0.991624,0.949574,
