¹¹¼þ±àºÅ	volume
634	0.546
635	0.5565
636	0.5565
637	0.567
638	0.567
639	0.546
640	0.546
641	0.084
642	0.084
643	0.084
644	0.084
645	0.084
646	0.084
647	0.084
648	0.084
649	0.6405
650	0.6405
651	0.43575
652	0.43575
653	0.43575
654	0.43575
655	0.6405
656	0.6405
657	0.6405
658	0.6405
659	0.43575
660	0.43575
661	0.43575
662	0.43575
663	0.6405
664	0.6405
665	0.084
666	0.084
667	0.084
668	0.084
669	0.084
670	0.084
671	0.084
672	0.084
673	0.546
674	0.546
675	0.5565
676	0.5565
677	0.567
678	0.567
679	0.546
680	0.546
681	0.546
682	0.546
683	0.5565
684	0.5565
685	0.567
686	0.567
687	0.546
688	0.546
689	0.084
690	0.084
691	0.084
692	0.084
693	0.084
694	0.084
695	0.084
696	0.084
697	0.6405
698	0.6405
699	0.43575
700	0.43575
701	0.43575
702	0.43575
703	0.6405
704	0.6405
705	0.6405
706	0.6405
707	0.43575
708	0.43575
709	0.43575
710	0.43575
711	0.6405
712	0.6405
713	0.084
714	0.084
715	0.084
716	0.084
717	0.084
718	0.084
719	0.084
720	0.084
721	0.546
722	0.546
723	0.5565
724	0.5565
725	0.567
726	0.567
727	0.546
728	0.546
729	0.546
730	0.546
731	0.5565
732	0.5565
733	0.567
734	0.567
735	0.546
736	0.546
737	0.084
738	0.084
739	0.084
740	0.084
741	0.084
742	0.084
743	0.084
744	0.084
745	0.6405
746	0.6405
747	0.43575
748	0.43575
749	0.43575
750	0.43575
751	0.6405
752	0.6405
753	0.6405
754	0.6405
755	0.43575
756	0.43575
757	0.43575
758	0.43575
759	0.6405
760	0.6405
761	0.084
762	0.084
763	0.084
764	0.084
765	0.084
766	0.084
767	0.084
768	0.084
769	0.455
770	0.455
771	0.46375
772	0.46375
773	0.4725
774	0.4725
775	0.455
776	0.455
777	0.455
778	0.455
779	0.46375
780	0.46375
781	0.4725
782	0.4725
783	0.455
784	0.455
785	0.07
786	0.07
787	0.07
788	0.07
789	0.07
790	0.07
791	0.07
792	0.07
793	0.53375
794	0.53375
795	0.363125
796	0.363125
797	0.363125
798	0.363125
799	0.53375
800	0.53375
801	0.53375
802	0.53375
803	0.363125
804	0.363125
805	0.363125
806	0.363125
807	0.53375
808	0.53375
809	0.07
810	0.07
811	0.07
812	0.07
813	0.07
814	0.07
815	0.07
816	0.07
817	0.455
818	0.455
819	0.46375
820	0.46375
821	0.4725
822	0.4725
823	0.455
824	0.455
825	0.455
826	0.455
827	0.46375
828	0.46375
829	0.4725
830	0.4725
831	0.455
832	0.455
833	0.07
834	0.07
835	0.07
836	0.07
837	0.07
838	0.07
839	0.07
840	0.07
841	0.53375
842	0.53375
843	0.363125
844	0.363125
845	0.363125
846	0.363125
847	0.53375
848	0.53375
849	0.53375
850	0.53375
851	0.363125
852	0.363125
853	0.363125
854	0.363125
855	0.53375
856	0.53375
857	0.07
858	0.07
859	0.07
860	0.07
861	0.07
862	0.07
863	0.07
864	0.07
865	0.455
866	0.455
867	0.46375
868	0.46375
869	0.4725
870	0.4725
871	0.455
872	0.455
873	0.455
874	0.455
875	0.46375
876	0.46375
877	0.4725
878	0.4725
879	0.455
880	0.455
881	0.07
882	0.07
883	0.07
884	0.07
885	0.07
886	0.07
887	0.07
888	0.07
889	0.53375
890	0.53375
891	0.363125
892	0.363125
893	0.363125
894	0.363125
895	0.53375
896	0.53375
897	0.53375
898	0.53375
899	0.363125
900	0.363125
901	0.363125
902	0.363125
903	0.53375
904	0.53375
905	0.07
906	0.07
907	0.07
908	0.07
909	0.07
910	0.07
911	0.07
912	0.07
913	0.455
914	0.455
915	0.46375
916	0.46375
917	0.4725
918	0.4725
919	0.455
920	0.455
921	0.455
922	0.455
923	0.46375
924	0.46375
925	0.4725
926	0.4725
927	0.455
928	0.455
929	0.07
930	0.07
931	0.07
932	0.07
933	0.07
934	0.07
935	0.07
936	0.07
937	0.53375
938	0.53375
939	0.363125
940	0.363125
941	0.363125
942	0.363125
943	0.53375
944	0.53375
945	0.53375
946	0.53375
947	0.363125
948	0.363125
949	0.363125
950	0.363125
951	0.53375
952	0.53375
953	0.07
954	0.07
955	0.07
956	0.07
957	0.07
958	0.07
959	0.07
960	0.07
961	0.455
962	0.455
963	0.46375
964	0.46375
965	0.4725
966	0.4725
967	0.455
968	0.455
969	0.455
970	0.455
971	0.46375
972	0.46375
973	0.4725
974	0.4725
975	0.455
976	0.455
977	0.07
978	0.07
979	0.07
980	0.07
981	0.07
982	0.07
983	0.07
984	0.07
985	0.53375
986	0.53375
987	0.363125
988	0.363125
989	0.363125
990	0.363125
991	0.53375
992	0.53375
993	0.53375
994	0.53375
995	0.363125
996	0.363125
997	0.363125
998	0.363125
999	0.53375
1000	0.53375
1001	0.07
1002	0.07
1003	0.07
1004	0.07
1005	0.07
1006	0.07
1007	0.07
1008	0.07
1009	0.455
1010	0.455
1011	0.46375
1012	0.46375
1013	0.4725
1014	0.4725
1015	0.455
1016	0.455
1017	0.455
1018	0.455
1019	0.46375
1020	0.46375
1021	0.4725
1022	0.4725
1023	0.455
1024	0.455
1025	0.07
1026	0.07
1027	0.07
1028	0.07
1029	0.07
1030	0.07
1031	0.07
1032	0.07
1033	0.53375
1034	0.53375
1035	0.363125
1036	0.363125
1037	0.363125
1038	0.363125
1039	0.53375
1040	0.53375
1041	0.53375
1042	0.53375
1043	0.363125
1044	0.363125
1045	0.363125
1046	0.363125
1047	0.53375
1048	0.53375
1049	0.07
1050	0.07
1051	0.07
1052	0.07
1053	0.07
1054	0.07
1055	0.07
1056	0.07
1057	0.455
1058	0.455
1059	0.46375
1060	0.46375
1061	0.4725
1062	0.4725
1063	0.455
1064	0.455
1065	0.455
1066	0.455
1067	0.46375
1068	0.46375
1069	0.4725
1070	0.4725
1071	0.455
1072	0.455
1073	0.07
1074	0.07
1075	0.07
1076	0.07
1077	0.07
1078	0.07
1079	0.07
1080	0.07
1081	0.53375
1082	0.53375
1083	0.363125
1084	0.363125
1085	0.363125
1086	0.363125
1087	0.53375
1088	0.53375
1089	0.53375
1090	0.53375
1091	0.363125
1092	0.363125
1093	0.363125
1094	0.363125
1095	0.53375
1096	0.53375
1097	0.07
1098	0.07
1099	0.07
1100	0.07
1101	0.07
1102	0.07
1103	0.07
1104	0.07
1105	0.455
1106	0.455
1107	0.46375
1108	0.46375
1109	0.4725
1110	0.4725
1111	0.455
1112	0.455
1113	0.455
1114	0.455
1115	0.46375
1116	0.46375
1117	0.4725
1118	0.4725
1119	0.455
1120	0.455
1121	0.07
1122	0.07
1123	0.07
1124	0.07
1125	0.07
1126	0.07
1127	0.07
1128	0.07
1129	0.53375
1130	0.53375
1131	0.363125
1132	0.363125
1133	0.363125
1134	0.363125
1135	0.53375
1136	0.53375
1137	0.53375
1138	0.53375
1139	0.363125
1140	0.363125
1141	0.363125
1142	0.363125
1143	0.53375
1144	0.53375
1145	0.07
1146	0.07
1147	0.07
1148	0.07
1149	0.07
1150	0.07
1151	0.07
1152	0.07
1153	0.455
1154	0.455
1155	0.46375
1156	0.46375
1157	0.4725
1158	0.4725
1159	0.455
1160	0.455
1161	0.455
1162	0.455
1163	0.46375
1164	0.46375
1165	0.4725
1166	0.4725
1167	0.455
1168	0.455
1169	0.07
1170	0.07
1171	0.07
1172	0.07
1173	0.07
1174	0.07
1175	0.07
1176	0.07
1177	0.53375
1178	0.53375
1179	0.363125
1180	0.363125
1181	0.363125
1182	0.363125
1183	0.53375
1184	0.53375
1185	0.53375
1186	0.53375
1187	0.363125
1188	0.363125
1189	0.363125
1190	0.363125
1191	0.53375
1192	0.53375
1193	0.07
1194	0.07
1195	0.07
1196	0.07
1197	0.07
1198	0.07
1199	0.07
1200	0.07
