1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
0.00117547	0.00261617	0.00357705	0.00444475	0.00491873	0.00517415	0.00543677	0.00535055	0.0051582	0.00497956	0.00517652	0.0054719	0.00567871	0.00600001	0.0062713	0.00636986	0.0063776	0.00660514	0.00659587	0.00637737	0.00604058	0.00551481	0.00498694	0.00461014	0.00428574
0.00128032	0.00252245	0.00321629	0.00366696	0.00377427	0.00374363	0.00371715	0.00380622	0.00390848	0.00390991	0.00397006	0.00409486	0.00415333	0.00416068	0.00410607	0.00402236	0.00394005	0.00391999	0.00373924	0.00355947	0.00336172	0.00316477	0.00294561	0.00273269	0.00250871
0.000763798	0.00160089	0.00223449	0.00284595	0.00330303	0.00363893	0.00403285	0.00425197	0.00441886	0.00462975	0.00491481	0.00511486	0.00523322	0.00528793	0.0052884	0.00523467	0.00513911	0.00518903	0.00514428	0.0049756	0.00477461	0.00447308	0.00406795	0.00368198	0.00344306
0.0010727	0.00225815	0.00291116	0.00351504	0.00381441	0.00396183	0.00411252	0.00401055	0.00382898	0.00386238	0.00411913	0.00437835	0.00457593	0.00467381	0.00467642	0.00460413	0.00450479	0.00445731	0.00429804	0.00408865	0.00389998	0.0036684	0.00343125	0.0031952	0.00296483
0.00084114	0.00168007	0.00210861	0.00250047	0.00262604	0.00263889	0.00283589	0.00287894	0.00280388	0.00279868	0.00326781	0.00378875	0.00431418	0.00472744	0.00496438	0.00502695	0.00501929	0.00502401	0.00488105	0.00457526	0.00421621	0.00387627	0.00360968	0.00334793	0.00303958
0.000723548	0.00151023	0.00204715	0.00262048	0.00303247	0.003346	0.00367368	0.00390146	0.00403104	0.0041053	0.0041066	0.00410053	0.00401938	0.00393128	0.0038313	0.00371468	0.00352527	0.00338545	0.00324854	0.00309223	0.00289603	0.00268495	0.00251511	0.00235594	0.00218299
0.00128032	0.00252245	0.00321629	0.00366696	0.00377427	0.00374363	0.00371715	0.00380622	0.00390848	0.00390991	0.00397006	0.00409486	0.00415333	0.00416068	0.00410607	0.00402236	0.00394005	0.00391999	0.00373924	0.00355947	0.00336172	0.00316477	0.00294561	0.00273269	0.00250871
0.000340267	0.000699579	0.00098573	0.00132329	0.00151772	0.00169888	0.00194878	0.00207817	0.00215593	0.00221095	0.00221412	0.00220821	0.00216093	0.00212495	0.00212818	0.00211525	0.00208012	0.00207032	0.00205094	0.0019837	0.00187131	0.00176466	0.00165156	0.00153495	0.00140546
0.000649736	0.00138238	0.00183447	0.00221591	0.00239172	0.00245601	0.00254258	0.00246243	0.00246115	0.00244759	0.00249479	0.0024983	0.00258362	0.00296147	0.0032696	0.00351211	0.00364059	0.00383584	0.00383898	0.00374626	0.00355487	0.00331489	0.00302311	0.00274751	0.00250092
0.000649987	0.00138206	0.00183458	0.00222015	0.00239019	0.0024564	0.00254145	0.0024634	0.00246043	0.00244875	0.00249409	0.00249853	0.00258223	0.00296116	0.00327022	0.0035132	0.00364102	0.00383621	0.00383965	0.00374685	0.00355544	0.0033153	0.00302364	0.00274811	0.00250144
0.000649987	0.00138206	0.00183458	0.00222015	0.00239019	0.0024564	0.00254145	0.0024634	0.00246043	0.00244875	0.00249409	0.00249853	0.00258223	0.00296116	0.00327022	0.0035132	0.00364102	0.00383621	0.00383965	0.00374685	0.00355544	0.0033153	0.00302364	0.00274811	0.00250144
