,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
11,1.03187,1.03181,1.03212,1.03202,1.03218,1.03248,1.03268,1.03301,1.03004,1.03072,1.03101,1.02879,1.0286,1.02951,1.02491,1.02809,1.02647,1.02607,1.02276,1.02035,1.01899,1.01822,1.01882,1.00837,1.00443,1.00696,0.998393,1.00166,1.02145,1.02107,1.01785,1.00531,1.00755,1.00716,1.00653,1.00967,1.02258,1.02455,1.02394,1.0207,1.02554,1.02213,1.02186,1.0248,1.01353,1.01751,1.01716,1.01035,1.03145,1.03112,1.03086,1.02777,1.0279,1.02505,1.02472,1.02513,1.02358,1.02785,1.02834,1.02549,1.03647,1.03514,1.03439,1.02946,1.02671,1.02704,1.0268,1.02426,1.02522,1.02549,1.02649,1.02613,1.00208,1.00651,1.0046,0.996431,0.990635,0.997575,0.997529,0.994401,1.02417,1.0281,1.02867,1.02467,
12,1.02707,1.02699,1.02739,1.02721,1.02812,1.02818,1.02819,1.02857,1.02795,1.02851,1.02879,0.978509,1.03417,1.02501,1.03281,1.01943,1.04473,1.04757,1.04034,0.998304,1.06416,1.06617,1.01573,1.00079,0.999201,1.00576,0.999212,1.00539,1.07081,1.06806,1.06355,1.00266,1.02466,1.02522,0.994322,0.98197,0.996892,1.01033,1.01072,0.988765,1.0359,1.03492,1.03677,1.03574,0.982681,1.01747,1.02177,0.995568,1.02279,1.01455,1.01445,1.0164,1.06162,1.05913,1.05724,1.05662,1.05694,1.05911,1.05901,1.05286,1.03012,1.01476,1.01307,1.01695,1.0094,1.01886,1.01986,1.01223,1.0159,1.01101,1.01256,1.02361,0.936065,0.949688,0.950541,0.92863,0.905146,0.918253,0.919093,0.915988,0.970827,0.993569,0.998869,0.990528,
13,1.02751,1.02719,1.02775,1.02765,1.02678,1.02683,1.02698,1.02768,1.02765,1.02827,1.0286,1.03417,1.00138,1.00294,0.999872,1.00659,1.00719,1.00749,1.00448,1.01073,0.995099,0.995993,1.00127,1.01162,0.979159,0.980717,0.971529,0.982881,0.991109,0.991848,0.988364,0.991675,0.989731,0.989324,0.99417,1.02268,1.0291,1.01972,1.01976,1.02822,1.013,1.00816,1.00802,1.01397,1.01396,1.01924,1.01754,1.00917,1.01386,1.01163,1.01158,1.01088,1.00363,0.999829,1.00031,1.00224,1.01349,1.02568,1.0262,1.01812,1.00946,1.01302,1.01197,1.00542,1.00588,1.00363,1.00313,1.00304,1.00425,1.00957,1.01075,1.00583,0.997487,0.997998,0.995313,0.995465,0.99138,0.992626,0.991775,0.990029,1.00332,1.00324,1.00284,1.00125,
14,1.02708,1.02677,1.02736,1.02723,1.02676,1.02674,1.0268,1.02747,1.02867,1.02923,1.02951,1.02501,1.00294,1.00281,1.00199,1.00589,1.01083,1.01173,1.00807,1.00684,1.00275,1.00447,1.0004,1.0106,0.977989,0.980419,0.971301,0.984349,0.999369,0.999921,0.996169,0.991109,0.991761,0.991609,0.991209,1.01796,1.02425,1.0173,1.01756,1.02209,1.01527,1.01081,1.01109,1.01626,1.00854,1.02065,1.01995,1.00743,1.01218,1.00872,1.0087,1.00885,1.00879,1.00504,1.00539,1.0074,1.02018,1.03257,1.03289,1.0235,1.00838,1.00963,1.00838,1.0032,1.00314,1.0022,1.00181,1.00092,1.00254,1.00617,1.00743,1.00489,0.983864,0.985684,0.983489,0.980266,0.974685,0.977052,0.976459,0.97437,0.993134,0.996097,0.996585,0.994525,
15,1.02198,1.02187,1.02247,1.02239,1.02236,1.02242,1.02244,1.02294,1.02422,1.02475,1.02491,1.03281,0.999872,1.00199,0.996889,1.00434,1.00112,1.00091,0.997931,1.00483,0.983772,0.985026,0.992221,1.00407,0.973909,0.9765,0.965624,0.979154,0.982658,0.983791,0.980285,0.980848,0.974929,0.974944,0.980934,1.01616,1.02093,1.0134,1.01331,1.02042,1.00615,1.00021,0.999789,1.00504,1.00881,1.01216,1.01038,1.0041,1.01134,1.01128,1.01106,1.00794,0.99414,0.990128,0.990699,0.99295,1.00202,1.01267,1.01305,1.00573,1.00966,1.01464,1.01288,1.00251,1.00393,0.999632,0.998269,0.997747,0.998402,0.999699,1.0007,0.997223,0.984916,0.983343,0.980329,0.97854,0.98168,0.981912,0.981093,0.978171,0.992152,0.990937,0.991054,0.991449,
16,1.02224,1.02233,1.02282,1.02264,1.02481,1.02455,1.02434,1.02456,1.02778,1.02804,1.02809,1.01943,1.00659,1.00589,1.00434,0.998559,1.01328,1.01476,1.01005,1.0011,1.00714,1.00958,1.00304,1.00624,0.971902,0.976026,0.966512,0.979501,1.00326,1.00316,0.999287,0.999598,0.994941,0.993615,0.995534,1.00599,1.01455,1.01256,1.01307,1.01311,1.01186,1.00998,1.00987,1.01448,1.00389,1.02273,1.02168,1.00114,1.02556,1.02277,1.02181,1.01829,1.01887,1.01401,1.01362,1.01526,1.02568,1.04367,1.04534,1.03285,1.01916,1.02616,1.02477,1.00976,1.00748,1.00736,1.00678,1.00319,1.00712,1.01303,1.01532,1.01496,0.982422,0.987747,0.984488,0.976432,0.966137,0.970741,0.970896,0.969197,1.00596,1.01188,1.0128,1.00691,
17,1.02573,1.02558,1.02596,1.02581,1.02609,1.02621,1.02633,1.02677,1.02566,1.02629,1.02647,1.04473,1.00719,1.01083,1.00112,1.01328,1.00446,1.00339,1.00063,1.01377,0.984752,0.984376,0.998837,1.00933,0.987536,0.988401,0.976849,0.984293,0.984041,0.984874,0.981352,0.987497,0.985101,0.984446,0.993545,1.02181,1.02729,1.02031,1.01977,1.02807,1.00992,1.00376,1.00292,1.00818,1.01868,1.01243,1.01,1.01029,1.01775,1.01981,1.01967,1.01487,0.996657,0.993231,0.993669,0.99485,1.00073,1.00848,1.00875,1.00427,1.0206,1.02573,1.02436,1.01427,1.01632,1.01134,1.00985,1.0094,1.00988,1.01244,1.01287,1.00648,1.01122,1.00922,1.00621,1.00752,1.01181,1.0126,1.01168,1.00839,1.0145,1.01079,1.01,1.00997,
18,1.02583,1.02568,1.02606,1.02595,1.02604,1.02618,1.02632,1.02677,1.02526,1.02589,1.02607,1.04757,1.00749,1.01173,1.00091,1.01476,1.00339,1.002,0.999482,1.01536,0.981963,0.981362,0.998358,1.01065,0.990138,0.990581,0.978863,0.985469,0.981524,0.982494,0.979087,0.986464,0.983822,0.983284,0.993457,1.02428,1.02876,1.02136,1.02074,1.02996,1.0097,1.0031,1.00214,1.00728,1.02056,1.01155,1.00895,1.01145,1.01816,1.02124,1.02111,1.01563,0.994194,0.990886,0.991393,0.992522,0.997902,1.0047,1.00487,1.00116,1.02147,1.0272,1.02579,1.01529,1.01779,1.01203,1.01036,1.01019,1.01023,1.01211,1.0123,1.00548,1.01527,1.01213,1.0091,1.0114,1.01868,1.01865,1.01766,1.01416,1.01566,1.01056,1.00962,1.01049,
19,1.02209,1.02197,1.02242,1.02235,1.02235,1.02242,1.02254,1.02297,1.02205,1.0226,1.02276,1.04034,1.00448,1.00807,0.997931,1.01005,1.00063,0.999482,0.996904,1.00987,0.979895,0.979717,0.993835,1.00829,0.987208,0.987995,0.976347,0.983654,0.980176,0.981111,0.977696,0.982282,0.979069,0.978706,0.987551,1.02083,1.02366,1.01702,1.01654,1.02449,1.00654,0.999984,0.999067,1.00366,1.01482,1.0084,1.00599,1.00683,1.01577,1.01897,1.01875,1.01285,0.992276,0.988986,0.989409,0.990536,0.995536,1.00218,1.0023,0.998497,1.01825,1.02447,1.02279,1.01107,1.01301,1.00732,1.0055,1.00493,1.00472,1.00543,1.00562,1.00004,1.00657,1.00372,1.00088,1.0016,1.00687,1.00723,1.00659,1.00306,1.00443,1.00076,1.00032,1.00146,
20,1.01495,1.01494,1.01543,1.01523,1.01722,1.01702,1.0168,1.01701,1.02013,1.0204,1.02035,0.998304,1.01073,1.00684,1.00483,1.0011,1.01377,1.01536,1.00987,0.990492,1.01085,1.01338,0.99204,0.993961,0.9776,0.982789,0.971626,0.983501,1.01593,1.01486,1.0098,0.98319,0.987923,0.987382,0.977127,0.989728,0.99774,1.0017,1.00195,0.993889,1.00934,1.00625,1.00655,1.00831,0.987228,1.00798,1.00888,0.990554,1.01246,1.00958,1.00913,1.00629,1.01903,1.01579,1.0149,1.01508,1.01995,1.02896,1.02911,1.02047,1.01774,1.01517,1.01284,1.00398,1.00089,1.0024,1.00138,0.996155,0.998453,0.995566,0.996961,1.00117,0.952765,0.958067,0.956814,0.943795,0.931804,0.937699,0.938238,0.935743,0.96957,0.981028,0.984108,0.980002,
