ID	volume	 mp(left)	mp(ÁºÖÐ)	mp(right)	h	EI
99	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
100	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
101	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
102	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
103	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
104	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
105	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
106	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
107	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
108	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
109	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
110	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
111	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
112	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
113	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
114	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
115	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
116	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
117	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
118	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
119	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
120	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
121	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
122	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
123	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
124	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
125	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
126	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
127	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
128	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
129	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
130	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
131	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
132	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
133	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
134	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
135	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
136	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
137	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
138	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
139	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
140	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
141	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
142	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
143	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
144	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
145	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
146	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
147	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
148	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
149	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
150	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
151	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
152	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
153	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
154	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
155	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
156	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
157	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
158	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
159	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
160	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
161	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
162	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
163	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
164	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
165	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
