1	2	3	4	5	6	7
0.007319929	0.010340639	0.010952611	0.010961778	0.011985806	0.008185361	0.003425361
0.00564381	0.007750139	0.008119583	8.00E-03	7.63E-03	0.005053028	0.002490506
0.003929762	0.006352472	0.0067655	0.00679175	0.009176556	0.008731861	0.004705361
0.004798333	0.006912194	0.007503361	0.007436694	0.007820194	0.006676694	0.003550167
0.002696738	0.00415775	0.004659833	0.004987917	0.005685917	0.003712722	0.001902681
0.003200286	0.004769361	0.005487639	0.005945861	0.006511056	0.00402425	0.002494022
0.010416762	0.013233222	0.012941306	0.011630139	0.011364694	0.007465917	0.003569028
0.005700095	0.007563639	0.007996667	0.007740528	7.62E-03	0.004847083	0.002579542
0.00163186	0.002697092	0.002671661	0.002345725	0.003135083	0.002621994	0.001842903
0.009231952	0.012669528	0.013526028	0.013353361	0.014526639	0.009331083	0.0042925
0.003636476	0.005109944	0.005453444	5.32E-03	5.62E-03	0.004072639	0.002306936
